"","Taxon","Family","Order","Year","Clean_code","IUCNName","mass"
"260","Bletilla striata","Orchidaceae","Orchidales",2011,"NE","Bletilla striata",0
"261","Bletilla striata","Orchidaceae","Orchidales",2012,"NE","Bletilla striata",0
"262","Bletilla striata","Orchidaceae","Orchidales",2013,"NE","Bletilla striata",0
"263","Bletilla striata","Orchidaceae","Orchidales",2014,"NE","Bletilla striata",0
"264","Bletilla striata","Orchidaceae","Orchidales",2015,"NE","Bletilla striata",0
"265","Bletilla striata","Orchidaceae","Orchidales",2016,"NE","Bletilla striata",0
"266","Bletilla striata","Orchidaceae","Orchidales",2017,"NE","Bletilla striata",0
"267","Bletilla striata","Orchidaceae","Orchidales",2018,"NE","Bletilla striata",0
"268","Bletilla striata","Orchidaceae","Orchidales",2019,"NE","Bletilla striata",0
"269","Bletilla striata","Orchidaceae","Orchidales",2020,"NE","Bletilla striata",0
"270","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2008,"NE","Bulnesia sarmientoi",6300
"271","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2009,"NE","Bulnesia sarmientoi",5890
"272","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2010,"NE","Bulnesia sarmientoi",49760
"273","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2011,"NE","Bulnesia sarmientoi",143382.09
"274","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2012,"NE","Bulnesia sarmientoi",58252.28
"275","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2013,"NE","Bulnesia sarmientoi",84195
"276","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2014,"NE","Bulnesia sarmientoi",135154.24
"277","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2015,"NE","Bulnesia sarmientoi",103301.36
"278","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2016,"NE","Bulnesia sarmientoi",97486
"279","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2017,"NE","Bulnesia sarmientoi",125610.14
"280","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2018,"NE","Bulnesia sarmientoi",131307.199999998
"281","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2019,"NE","Bulnesia sarmientoi",81295.95
"282","Bulnesia sarmientoi","Zygophyllaceae","Sapindales",2020,"NE","Bulnesia sarmientoi",59662.46
"283","Cibotium barometz","Dicksoniaceae","Dicksoniales",2000,"NE","Cibotium barometz",0
"284","Cibotium barometz","Dicksoniaceae","Dicksoniales",2001,"NE","Cibotium barometz",0
"285","Cibotium barometz","Dicksoniaceae","Dicksoniales",2002,"NE","Cibotium barometz",0
"286","Cibotium barometz","Dicksoniaceae","Dicksoniales",2003,"NE","Cibotium barometz",0
"287","Cibotium barometz","Dicksoniaceae","Dicksoniales",2004,"NE","Cibotium barometz",0
"288","Cibotium barometz","Dicksoniaceae","Dicksoniales",2005,"NE","Cibotium barometz",0
"289","Cibotium barometz","Dicksoniaceae","Dicksoniales",2006,"NE","Cibotium barometz",0
"290","Cibotium barometz","Dicksoniaceae","Dicksoniales",2007,"NE","Cibotium barometz",0
"291","Cibotium barometz","Dicksoniaceae","Dicksoniales",2008,"NE","Cibotium barometz",0
"292","Cibotium barometz","Dicksoniaceae","Dicksoniales",2009,"NE","Cibotium barometz",0
"293","Cibotium barometz","Dicksoniaceae","Dicksoniales",2010,"NE","Cibotium barometz",0
"294","Cibotium barometz","Dicksoniaceae","Dicksoniales",2011,"NE","Cibotium barometz",0
"295","Cibotium barometz","Dicksoniaceae","Dicksoniales",2012,"NE","Cibotium barometz",0
"296","Cibotium barometz","Dicksoniaceae","Dicksoniales",2013,"NE","Cibotium barometz",0
"297","Cibotium barometz","Dicksoniaceae","Dicksoniales",2014,"NE","Cibotium barometz",0
