"","Taxon","Family","Order","Vol_Unit","Importer","Exporter","Year","Vol","Volume"
"1428","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2019,,0
"1429","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2020,,0
"1430","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2000,,0
"1431","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2001,,0
"1432","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2002,,0
"1433","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2003,,0
"1434","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2004,,0
"1435","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2005,,0
"1436","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2006,,0
"1437","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2007,,0
"1438","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2008,,0
"1439","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2009,,0
"1440","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2010,,0
"1441","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2011,0.09375,0.09375
"1442","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2012,,0
"1443","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2013,,0
"1444","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2014,,0
"1445","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2015,,0
"1446","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2016,,0
"1447","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2017,,0
