"","Taxon","Family","order_new","Year","Clean_code","IUCNName","n"
"198","Aerangis decaryana","Orchidaceae","Asparagales",2010,"NE","Aerangis decaryana",0
"199","Aerangis decaryana","Orchidaceae","Asparagales",2011,"NE","Aerangis decaryana",0
"200","Aerangis decaryana","Orchidaceae","Asparagales",2012,"NE","Aerangis decaryana",0
"201","Aerangis decaryana","Orchidaceae","Asparagales",2013,"NE","Aerangis decaryana",0
"202","Aerangis decaryana","Orchidaceae","Asparagales",2014,"NE","Aerangis decaryana",0
"203","Aerangis decaryana","Orchidaceae","Asparagales",2015,"NE","Aerangis decaryana",0
"204","Aerangis decaryana","Orchidaceae","Asparagales",2016,"NE","Aerangis decaryana",0
"205","Aerangis decaryana","Orchidaceae","Asparagales",2017,"NE","Aerangis decaryana",0
"206","Aerangis decaryana","Orchidaceae","Asparagales",2018,"NE","Aerangis decaryana",0
"207","Aerangis decaryana","Orchidaceae","Asparagales",2019,"NE","Aerangis decaryana",0
"208","Aerangis decaryana","Orchidaceae","Asparagales",2020,"NE","Aerangis decaryana",0
"209","Aerangis ellisii","Orchidaceae","Asparagales",2000,"NE","Aerangis ellisii",4
"210","Aerangis ellisii","Orchidaceae","Asparagales",2001,"NE","Aerangis ellisii",0
"211","Aerangis ellisii","Orchidaceae","Asparagales",2002,"NE","Aerangis ellisii",0
"212","Aerangis ellisii","Orchidaceae","Asparagales",2003,"NE","Aerangis ellisii",0
"213","Aerangis ellisii","Orchidaceae","Asparagales",2004,"NE","Aerangis ellisii",0
"214","Aerangis ellisii","Orchidaceae","Asparagales",2005,"NE","Aerangis ellisii",0
"215","Aerangis ellisii","Orchidaceae","Asparagales",2006,"NE","Aerangis ellisii",0
"216","Aerangis ellisii","Orchidaceae","Asparagales",2007,"NE","Aerangis ellisii",0
"217","Aerangis ellisii","Orchidaceae","Asparagales",2008,"NE","Aerangis ellisii",0
"218","Aerangis ellisii","Orchidaceae","Asparagales",2009,"NE","Aerangis ellisii",0
"219","Aerangis ellisii","Orchidaceae","Asparagales",2010,"NE","Aerangis ellisii",0
"220","Aerangis ellisii","Orchidaceae","Asparagales",2011,"NE","Aerangis ellisii",0
"221","Aerangis ellisii","Orchidaceae","Asparagales",2012,"NE","Aerangis ellisii",0
"222","Aerangis ellisii","Orchidaceae","Asparagales",2013,"NE","Aerangis ellisii",0
"223","Aerangis ellisii","Orchidaceae","Asparagales",2014,"NE","Aerangis ellisii",0
"224","Aerangis ellisii","Orchidaceae","Asparagales",2015,"NE","Aerangis ellisii",5
"225","Aerangis ellisii","Orchidaceae","Asparagales",2016,"NE","Aerangis ellisii",0
"226","Aerangis ellisii","Orchidaceae","Asparagales",2017,"NE","Aerangis ellisii",0
"227","Aerangis ellisii","Orchidaceae","Asparagales",2018,"NE","Aerangis ellisii",0
"228","Aerangis ellisii","Orchidaceae","Asparagales",2019,"NE","Aerangis ellisii",0
"229","Aerangis ellisii","Orchidaceae","Asparagales",2020,"NE","Aerangis ellisii",0
"230","Aerangis fastuosa","Orchidaceae","Asparagales",2000,"NE","Aerangis fastuosa",30
"231","Aerangis fastuosa","Orchidaceae","Asparagales",2001,"NE","Aerangis fastuosa",0
"232","Aerangis fastuosa","Orchidaceae","Asparagales",2002,"NE","Aerangis fastuosa",0
"233","Aerangis fastuosa","Orchidaceae","Asparagales",2003,"NE","Aerangis fastuosa",15
"234","Aerangis fastuosa","Orchidaceae","Asparagales",2004,"NE","Aerangis fastuosa",0
"235","Aerangis fastuosa","Orchidaceae","Asparagales",2005,"NE","Aerangis fastuosa",65
"236","Aerangis fastuosa","Orchidaceae","Asparagales",2006,"NE","Aerangis fastuosa",0
"237","Aerangis fastuosa","Orchidaceae","Asparagales",2007,"NE","Aerangis fastuosa",9
"238","Aerangis fastuosa","Orchidaceae","Asparagales",2008,"NE","Aerangis fastuosa",0
"239","Aerangis fastuosa","Orchidaceae","Asparagales",2009,"NE","Aerangis fastuosa",0
"240","Aerangis fastuosa","Orchidaceae","Asparagales",2010,"NE","Aerangis fastuosa",0
"241","Aerangis fastuosa","Orchidaceae","Asparagales",2011,"NE","Aerangis fastuosa",0
"242","Aerangis fastuosa","Orchidaceae","Asparagales",2012,"NE","Aerangis fastuosa",0
"243","Aerangis fastuosa","Orchidaceae","Asparagales",2013,"NE","Aerangis fastuosa",0
"244","Aerangis fastuosa","Orchidaceae","Asparagales",2014,"NE","Aerangis fastuosa",0
"245","Aerangis fastuosa","Orchidaceae","Asparagales",2015,"NE","Aerangis fastuosa",14
"246","Aerangis fastuosa","Orchidaceae","Asparagales",2016,"NE","Aerangis fastuosa",35
"247","Aerangis fastuosa","Orchidaceae","Asparagales",2017,"NE","Aerangis fastuosa",13
"248","Aerangis fastuosa","Orchidaceae","Asparagales",2018,"NE","Aerangis fastuosa",0
"249","Aerangis fastuosa","Orchidaceae","Asparagales",2019,"NE","Aerangis fastuosa",0
"250","Aerangis fastuosa","Orchidaceae","Asparagales",2020,"NE","Aerangis fastuosa",0
"251","Aerangis fuscata","Orchidaceae","Asparagales",2000,"NE","Aerangis fuscata",12
"252","Aerangis fuscata","Orchidaceae","Asparagales",2001,"NE","Aerangis fuscata",0
"253","Aerangis fuscata","Orchidaceae","Asparagales",2002,"NE","Aerangis fuscata",0
"254","Aerangis fuscata","Orchidaceae","Asparagales",2003,"NE","Aerangis fuscata",17
"255","Aerangis fuscata","Orchidaceae","Asparagales",2004,"NE","Aerangis fuscata",0
"256","Aerangis fuscata","Orchidaceae","Asparagales",2005,"NE","Aerangis fuscata",0
"257","Aerangis fuscata","Orchidaceae","Asparagales",2006,"NE","Aerangis fuscata",0
"258","Aerangis fuscata","Orchidaceae","Asparagales",2007,"NE","Aerangis fuscata",1
"259","Aerangis fuscata","Orchidaceae","Asparagales",2008,"NE","Aerangis fuscata",10
"260","Aerangis fuscata","Orchidaceae","Asparagales",2009,"NE","Aerangis fuscata",0
"261","Aerangis fuscata","Orchidaceae","Asparagales",2010,"NE","Aerangis fuscata",0
"262","Aerangis fuscata","Orchidaceae","Asparagales",2011,"NE","Aerangis fuscata",0
"263","Aerangis fuscata","Orchidaceae","Asparagales",2012,"NE","Aerangis fuscata",0
"264","Aerangis fuscata","Orchidaceae","Asparagales",2013,"NE","Aerangis fuscata",0
"265","Aerangis fuscata","Orchidaceae","Asparagales",2014,"NE","Aerangis fuscata",0
"266","Aerangis fuscata","Orchidaceae","Asparagales",2015,"NE","Aerangis fuscata",64
"267","Aerangis fuscata","Orchidaceae","Asparagales",2016,"NE","Aerangis fuscata",44
"268","Aerangis fuscata","Orchidaceae","Asparagales",2017,"NE","Aerangis fuscata",30
"269","Aerangis fuscata","Orchidaceae","Asparagales",2018,"NE","Aerangis fuscata",0
"270","Aerangis fuscata","Orchidaceae","Asparagales",2019,"NE","Aerangis fuscata",0
"271","Aerangis fuscata","Orchidaceae","Asparagales",2020,"NE","Aerangis fuscata",0
"272","Aerangis hyaloides","Orchidaceae","Asparagales",2000,"NE","Aerangis hyaloides",28
"273","Aerangis hyaloides","Orchidaceae","Asparagales",2001,"NE","Aerangis hyaloides",0
"274","Aerangis hyaloides","Orchidaceae","Asparagales",2002,"NE","Aerangis hyaloides",0
"275","Aerangis hyaloides","Orchidaceae","Asparagales",2003,"NE","Aerangis hyaloides",14
"276","Aerangis hyaloides","Orchidaceae","Asparagales",2004,"NE","Aerangis hyaloides",0
"277","Aerangis hyaloides","Orchidaceae","Asparagales",2005,"NE","Aerangis hyaloides",5
"278","Aerangis hyaloides","Orchidaceae","Asparagales",2006,"NE","Aerangis hyaloides",0
"279","Aerangis hyaloides","Orchidaceae","Asparagales",2007,"NE","Aerangis hyaloides",18
"280","Aerangis hyaloides","Orchidaceae","Asparagales",2008,"NE","Aerangis hyaloides",0
"281","Aerangis hyaloides","Orchidaceae","Asparagales",2009,"NE","Aerangis hyaloides",0
"282","Aerangis hyaloides","Orchidaceae","Asparagales",2010,"NE","Aerangis hyaloides",0
"283","Aerangis hyaloides","Orchidaceae","Asparagales",2011,"NE","Aerangis hyaloides",0
"284","Aerangis hyaloides","Orchidaceae","Asparagales",2012,"NE","Aerangis hyaloides",0
"285","Aerangis hyaloides","Orchidaceae","Asparagales",2013,"NE","Aerangis hyaloides",10
"286","Aerangis hyaloides","Orchidaceae","Asparagales",2014,"NE","Aerangis hyaloides",0
"287","Aerangis hyaloides","Orchidaceae","Asparagales",2015,"NE","Aerangis hyaloides",3
"288","Aerangis hyaloides","Orchidaceae","Asparagales",2016,"NE","Aerangis hyaloides",10
"289","Aerangis hyaloides","Orchidaceae","Asparagales",2017,"NE","Aerangis hyaloides",2
"290","Aerangis hyaloides","Orchidaceae","Asparagales",2018,"NE","Aerangis hyaloides",0
"291","Aerangis hyaloides","Orchidaceae","Asparagales",2019,"VU","Aerangis hyaloides",0
"292","Aerangis hyaloides","Orchidaceae","Asparagales",2020,"VU","Aerangis hyaloides",0
"293","Aerangis macrocentra","Orchidaceae","Asparagales",2000,"NE","Aerangis macrocentra",8
"294","Aerangis macrocentra","Orchidaceae","Asparagales",2001,"NE","Aerangis macrocentra",0
"295","Aerangis macrocentra","Orchidaceae","Asparagales",2002,"NE","Aerangis macrocentra",0
"296","Aerangis macrocentra","Orchidaceae","Asparagales",2003,"NE","Aerangis macrocentra",9
