"","Family","Taxon","Order","Importer","Exporter","Year","n","Clean_code","IUCNName","order_new","CITES order","Number of plants traded","analysis"
"70","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2015,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"71","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2008,1702612,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"72","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2015,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"73","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2016,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"74","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2017,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"75","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2018,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"76","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2019,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"77","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2020,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"78","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2017,1320800,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"79","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2003,1908000,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"80","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2020,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"81","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2019,2940000,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"82","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2019,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"83","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2002,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"84","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2003,5536860,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"85","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2004,5605000,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"86","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2004,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"87","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2016,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"88","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2020,2500000,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"89","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2000,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"90","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2001,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"91","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2010,3560590,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"92","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2009,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"93","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2010,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"94","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2005,50000,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"95","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2004,1900000,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"96","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2005,1739250,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"97","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2006,1757300,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"98","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2007,1249775,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"99","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2009,1999200,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"100","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2010,5421402,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"101","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2011,2644030,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"102","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2012,1400620,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"103","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2013,1509600,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"104","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2002,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"105","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2003,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"106","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2004,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"107","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2018,2293696,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"108","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2018,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"109","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2001,4323900,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"110","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2002,5871530,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"111","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2002,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
